Entity_id,Phenotype,Catapp_id,Chem_name,Dose_1000x,Dose_100x,Dose_10x,Dose_1x,pod_sd1
212,Cardio_peak_freq_90min,31,129/HFO,91.69416634,115.4926708,4.902285525,0,0.548442097
213,Cardio_peak_freq_90min,32,021/HFO,91.17213864,130.9910012,0,0,0.456120145
214,Cardio_peak_freq_90min,33,080/HFO,82.66308705,103.1003452,0,0,0.38227736
215,Cardio_peak_freq_90min,34,1*2*4*5-Tetramethylbenzene,88.01387102,94.22604562,106.2603511,100.837439,2
216,Cardio_peak_freq_90min,35,187(1)/OGO,84.22917016,103.3855906,244.4849288,0,2
217,Cardio_peak_freq_90min,36,079/HFO,87.8833641,97.90254117,138.423319,0,1.556271391
218,Cardio_peak_freq_90min,37,083/UATO,86.21287544,113.2424019,10.79827758,0,0.683206916
219,Cardio_peak_freq_90min,38,067/P&Hwax,92.4772079,94.6697606,106.6578337,103.3159789,2
220,Cardio_peak_freq_90min,39,063/P&Hwax,80.41836792,94.51129096,98.90692282,102.6637316,-1.686167314
221,Cardio_peak_freq_90min,40,090/FO,79.50481943,95.77904805,96.091421,100.4134782,-1.788485377
222,Cardio_peak_freq_90min,41,081/OLBO,78.5129668,96.09598732,107.9165287,150.5712988,0.880803888
223,Cardio_peak_freq_90min,42,154/OLBO,80.73158454,97.01511121,102.5505134,100.3482535,2
224,Cardio_peak_freq_90min,43,127/slackwax,85.14271865,98.37795008,94.17025505,110.4580873,2
225,Cardio_peak_freq_90min,44,Phenanthrene,84.15086601,98.82166506,110.4670421,123.8291578,0.80426742
226,Cardio_peak_freq_90min,45,1-Methylnaphthalene,86.57829483,102.1812213,105.233521,129.9928952,0.984285814
227,Cardio_peak_freq_90min,46,188/SRGO,85.95186159,117.4576943,245.4455118,0,0.77092919
228,Cardio_peak_freq_90min,47,Pyrene,98.42832373,103.3855906,110.765154,0,1.529861379
229,Cardio_peak_freq_90min,48,Fluoranthene,87.17862669,100.6282189,110.3014243,0,1.623901642
230,Cardio_peak_freq_90min,49,074/OLBO,87.54404609,102.3713849,114.8393508,219.5790675,0.751426099
231,Cardio_peak_freq_90min,50,091/HFO,88.74470981,122.1483955,0,0,0.460899301
232,Cardio_peak_freq_90min,51,008/HFO,96.75783508,183.4444507,0,0,0.727279014
233,Cardio_peak_freq_90min,52,166/HFO,82.55868151,104.082857,169.3275919,0,1.593427233
234,Cardio_peak_freq_90min,53,103/gasoline,87.38743778,100.1211161,101.4905598,116.1000268,1.454381913
235,Cardio_peak_freq_90min,54,071/HFO,82.71528982,118.3451242,0,37.1454861,0.320797852
236,Cardio_peak_freq_90min,55,093/petrolatum,88.82301396,98.94844077,105.8297449,116.1326392,1.106303872
237,Cardio_peak_freq_90min,56,190/BITUMENS,85.53423942,102.1178335,107.6515402,127.4165182,0.811883747
238,Cardio_peak_freq_90min,57,089/UDAE,93.20804668,154.6663648,0,0,0.462478729
239,Cardio_peak_freq_90min,58,085B/OLBO,79.97464437,109.3757428,135.2765816,143.7227017,-0.118366289
240,Cardio_peak_freq_90min,59,050/HFO,87.49184332,116.9505914,105.0347797,0,1.587706501
241,Cardio_peak_freq_90min,60,115/OLBO,77.49501277,92.2293282,98.1782047,95.3911737,-1.875715179
242,Cardio_peak_freq_90min,61,169/SRGO,78.25195294,103.4806724,0,0,0.389918106
243,Cardio_peak_freq_90min,62,179/VHGO,86.94371423,109.724376,175.3560782,0,1.543324708
244,Cardio_peak_freq_90min,63,Naphthalene,85.48203665,99.36046183,112.4544551,113.9802229,0.546127599
245,Cardio_peak_freq_90min,64,145/HRBO,86.36948375,101.6741185,102.1199073,110.0341265,1.558688312
246,Cardio_peak_freq_90min,65,076/gasoline,87.36133639,107.4107193,121.8615436,0,1.5881784
247,Cardio_peak_freq_90min,66,Propylbenzene,90.65011093,102.339691,107.5521696,115.8065155,0.816206824
248,Cardio_peak_freq_90min,67,141/gasoline,87.10032254,106.1429623,120.5697251,0,1.575945999
249,Cardio_peak_freq_90min,68,036/OLBO,95.42666443,101.5156489,160.2186154,0,1.664379293
250,Cardio_peak_freq_90min,69,065/P&Hwax,97.27986278,101.008546,103.6767141,104.1965128,2
